food_name,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,saturated_fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,category
burger,100,295,17,30,14,5.2,1.9,5,414,47,220,95,2.6,0.5,Fast Food
butter_naan,100,320,9,49,10,5.2,2.3,3.1,540,18,170,115,3.1,0,Indian
chapati,100,297,9.1,55,3.7,0.8,7.9,1.8,298,0,316,34,3.6,0,Indian
chole_bhature,100,290,8.2,33.5,14.2,4.5,6.3,4.1,420,12,295,58,2.8,2.1,Indian
dal_makhani,100,170,7.5,16,9,4.8,5.8,2.8,360,18,340,82,2.4,3.2,Indian
dhokla,100,160,8.1,24.5,3.2,0.6,4.3,2.5,340,0,180,42,1.8,1.2,Indian
fried_rice,100,174,4.2,31,3.9,0.9,1.5,1.2,420,15,120,20,1.1,2.3,Indian
idli,100,146,4.5,30.4,0.7,0.2,2.1,0.3,200,0,120,12,0.8,0,Indian
jalebi,100,400,4,70,12,3.8,0.4,45,120,0,40,20,0.7,0,Dessert
kaathi_rolls,100,250,11,26,11,3.5,2.6,2.2,480,32,210,52,2.2,3,Indian
kadai_paneer,100,225,10.2,8.5,17.2,8.6,2.1,3.8,430,32,240,210,1.5,8.2,Indian
kulfi,100,220,5,24,11.5,7.2,0,21,90,42,180,180,0.2,0.5,Dessert
masala_dosa,100,220,5.8,31,8.3,1.8,2.7,2.1,390,5,180,28,1.4,2.8,Indian
momos,100,230,9.5,29,8.5,2.2,2.4,1.8,520,28,170,24,2.3,4.5,Indian
paani_puri,100,180,4.2,34,3.2,0.7,2.8,3.4,420,0,150,22,1.6,7.5,Indian
pakode,100,312,8.4,24.5,20.1,3.2,3.8,2.4,460,0,250,38,2.3,8.5,Indian
pav_bhaji,100,180,4.5,22,8.5,2.4,3.5,4.2,420,8,240,48,1.8,12,Indian
pizza,100,266,11,33,10,4.5,2.3,3.6,598,17,172,188,2.5,0,Fast Food
samosa,100,308,6.8,32.5,17,4,3.9,2.1,430,0,240,32,2.1,3.5,Snack
chai,100,60,1.5,7.5,2.6,1.6,0,7,35,10,70,58,0.1,0,Beverage
chicken_curry,100,215,18.5,6.5,13,3.8,1.2,2.5,420,75,290,38,1.6,4.8,Indian
club_sandwich,100,250,12,22,13,3.6,2.1,3.2,480,35,210,110,2,2.5,Sandwich
hamburger,100,295,17,30,14,5.2,1.9,5,414,47,220,95,2.6,0.5,Fast Food
hot_dog,100,290,11.5,20,18.5,7,1.2,4,850,58,220,85,1.8,0,Fast Food
lasagna,100,135,7.5,14.5,5.5,2.8,1.3,2.4,320,28,180,120,1.4,1.2,Italian
macaroni_and_cheese,100,164,6.7,20.8,6.6,3.1,1,2.4,360,18,85,120,0.6,0,Pasta
omelette,100,154,10.6,1.9,11,3.3,0,0.7,155,373,126,56,1.8,0,Breakfast
pad_thai,100,190,8.2,24.5,6.8,1.4,1.8,5,410,38,150,32,1.2,2.3,Thai
paella,100,158,8.3,18.6,5.4,1.1,1.2,1.3,330,35,180,24,0.9,2.1,Spanish
ramen,100,134,5.5,19,4,1.5,1,1.3,480,18,120,18,0.8,0.5,Japanese
caesar_salad,100,190,7.2,8.5,15.4,3.1,2.3,2.6,410,28,210,118,1.3,6.5,Salad
greek_salad,100,145,4.1,6.2,11.8,4.2,2.1,3.8,320,17,240,105,0.9,12.5,Salad
grilled_salmon,100,206,22.1,0,12.4,2.7,0,0,60,63,490,15,0.5,0,Seafood
hummus,100,166,7.9,14.3,9.6,1.4,6,0.3,379,0,228,49,2.4,0,Dip
chicken_wings,100,288,26.4,0,19.3,5.4,0,0,520,99,223,15,1,0,Appetizer
french_fries,100,312,3.4,41.4,15,2.3,3.8,0.3,210,0,579,18,0.8,9.7,Side Dish
garlic_bread,100,350,8,41,17.5,6,2.4,2.8,520,18,120,80,2,0.6,Appetizer
nachos,100,346,7,36,20,3.5,4.8,1.8,580,8,250,140,1.9,1.5,Snack
spring_rolls,100,154,5,21,5.7,1,2.3,2,310,12,130,32,1.2,4.2,Appetizer
ice_cream,100,207,3.5,24,11,7,0.5,21,80,44,199,128,0.1,0.6,Dessert
